month,day,order,country,page1_main_category,colour,location,model_photography,price,price_2,page,total_clicks,browsing_depth,weekday,weekend
4,22,4,29,4,9,4,2,33,2,3,2,3,1,0
5,19,1,29,1,14,5,2,33,2,1,2,2,0,0
4,11,10,29,4,6,2,2,28,2,2,7,3,4,0
4,28,3,27,2,11,2,1,57,1,2,3,2,0,0
5,26,1,29,1,3,1,1,43,2,1,1,1,0,0
7,8,2,29,1,3,1,1,43,2,1,5,1,1,0
4,16,24,29,1,4,1,1,38,2,3,8,5,2,0
4,26,1,29,2,6,5,1,38,2,2,1,2,5,1
4,29,1,29,1,8,1,1,28,2,1,2,1,1,0
7,31,1,9,1,3,3,1,82,1,1,2,1,3,0
5,18,8,29,4,9,5,1,28,2,3,2,3,6,1
6,23,7,29,3,7,4,1,33,2,1,3,3,0,0
4,2,11,29,4,9,5,1,43,1,2,5,2,2,0
4,3,1,29,2,11,2,1,57,1,2,1,2,3,0
7,10,7,29,1,3,3,1,43,2,1,3,2,3,0
4,7,8,29,4,4,4,2,38,1,1,3,1,0,0
4,20,15,29,4,4,3,2,28,2,1,5,1,6,1
6,5,2,29,1,8,1,1,28,2,1,1,1,3,0
7,7,8,29,3,9,6,1,50,1,2,7,3,0,0
6,25,2,29,1,2,4,1,60,1,2,1,2,2,0
4,30,2,29,1,14,5,2,33,2,1,2,1,2,0
7,6,16,29,4,6,4,2,48,1,5,6,5,6,1
6,17,5,29,1,3,4,1,62,1,1,3,1,1,0
4,22,3,29,3,9,5,1,23,2,1,2,4,1,0
8,6,12,29,2,12,1,1,52,1,1,5,4,2,0
6,8,9,29,3,6,5,1,33,2,1,2,1,6,1
6,4,20,29,3,5,1,2,33,2,4,12,5,2,0
5,14,7,29,1,3,1,1,43,2,1,1,1,2,0
8,8,1,29,4,3,1,1,38,1,1,4,5,4,0
8,4,1,29,1,2,4,1,38,2,1,2,2,0,0
7,11,10,29,4,2,1,1,33,2,4,8,4,4,0
5,6,5,29,1,2,6,1,62,1,1,3,2,1,0
4,2,4,10,3,14,2,2,28,2,3,4,3,2,0
5,14,2,29,4,12,3,2,33,2,4,4,4,2,0
7,31,9,44,2,12,1,1,52,1,1,5,1,3,0
