month,day,order,country,page1_main_category,colour,location,model_photography,price,price_2,page,total_clicks,browsing_depth,weekday,weekend
6,22,21,29,3,13,1,2,48,1,2,84,4,6,1
5,19,6,29,2,13,3,1,57,1,2,9,2,0,0
7,15,2,29,3,9,5,1,48,1,1,10,3,1,0
5,2,2,29,2,2,4,1,43,2,1,6,2,4,0
6,9,16,29,2,9,5,1,57,1,2,15,2,0,0
8,8,1,29,3,13,1,1,38,2,3,3,3,4,0
5,2,11,29,3,12,2,1,33,2,2,9,3,4,0
4,16,3,9,3,11,3,1,55,1,3,9,3,2,0
6,5,3,29,2,11,2,1,57,1,2,10,2,3,0
5,1,1,29,1,3,4,1,62,1,1,2,1,3,0
4,19,3,29,4,14,1,1,43,1,3,4,3,5,1
5,11,18,29,4,2,6,1,28,2,1,15,3,6,1
7,7,13,29,4,7,6,1,33,2,1,11,1,0,0
5,19,4,29,4,4,4,2,38,1,1,6,4,0,0
7,9,2,9,1,3,1,1,72,1,1,20,3,2,0
4,4,14,29,4,3,1,1,38,1,1,14,2,4,0
4,17,2,29,1,1,5,1,28,2,1,17,4,3,0
6,8,3,29,3,14,3,1,28,2,2,7,3,6,1
4,21,5,29,2,6,6,2,38,2,1,6,2,0,0
7,28,1,29,1,3,3,1,43,2,1,1,1,0,0
6,13,1,29,3,14,4,1,43,1,1,1,1,4,0
7,17,2,29,1,3,1,1,43,2,1,73,5,3,0
7,25,4,29,1,3,4,1,62,1,1,12,2,4,0
4,22,2,29,4,2,6,1,28,2,1,16,3,1,0
6,11,9,29,4,3,1,1,28,2,1,6,2,2,0
5,31,18,29,4,4,2,1,38,1,1,32,5,5,1
4,22,10,29,3,9,6,1,48,1,1,14,5,1,0
5,16,10,29,4,2,1,1,48,1,1,8,2,4,0
5,29,2,29,4,7,3,2,38,1,3,2,3,3,0
4,5,21,29,4,3,1,1,38,1,1,28,5,5,1
7,27,4,29,3,13,2,1,28,2,3,9,3,6,1
7,21,2,29,1,3,1,1,43,2,1,13,3,0,0
5,29,2,29,3,9,4,2,28,2,1,3,1,3,0
5,8,14,29,3,2,3,1,33,2,2,14,3,3,0
8,3,32,29,4,14,2,1,28,2,4,28,5,6,1
4,16,24,29,4,7,2,1,43,1,5,19,5,2,0
4,10,46,29,3,14,5,1,48,1,2,48,3,3,0
8,5,1,46,1,3,4,1,38,2,1,1,1,1,0
7,18,1,29,2,2,6,1,48,2,2,5,2,4,0
5,23,1,29,1,3,4,1,62,1,1,2,1,4,0
4,13,21,29,4,2,3,1,28,2,1,18,4,6,1
4,10,30,29,1,1,3,1,38,2,2,25,4,3,0
4,14,16,29,4,3,1,1,38,1,1,13,4,0,0
5,23,5,29,4,3,1,1,38,1,1,3,1,4,0
6,16,1,9,1,3,2,1,43,2,1,17,3,0,0
4,8,11,9,3,9,5,1,48,1,1,18,2,1,0
4,6,9,29,2,2,4,1,67,1,1,16,2,6,1
